shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
86.07,-107.38,100.97,77.93,91.21,6.25
86.07,-107.38,99.03,77.93,91.21,6.25
86.07,-107.38,96.22,78.02,91.21,6.25
86.07,-107.38,95.43,78.02,91.21,6.25
86.07,-107.38,95.69,78.02,91.21,6.25
86.07,-107.38,95.69,78.02,91.21,6.25
86.07,-107.38,95.69,78.02,91.21,6.25
86.07,-107.38,95.69,78.02,91.21,6.25
86.07,-107.38,95.69,78.02,91.21,6.25
86.07,-107.38,95.69,78.02,91.21,6.25
86.07,-107.38,95.69,78.02,91.21,6.25
86.07,-107.38,95.69,78.02,91.21,6.25
